geoid,ct,pop,households,grp_qtrs,inst,pop_u18,hisp,white,black,asian,other_race,multiracial,housing,occupied,vacant
36005033700,2033700,3838,3693,145,0,730,747,2094,159,561,70,207,1288,1182,106
36005033801,2033801,2337,2337,0,0,596,1068,168,860,145,51,45,820,780,40
36005033802,2033802,1737,1737,0,0,442,698,78,817,64,31,49,661,632,29
36005034000,2034000,4858,4819,39,0,1103,2305,422,1647,274,68,142,1803,1743,60
36005034200,2034200,1732,1702,30,13,377,635,103,826,93,35,40,621,586,35
36005034300,2034300,1706,1489,217,185,343,719,605,212,92,25,53,638,612,26
36005034400,2034400,1930,1914,16,0,420,736,96,870,162,23,43,691,652,39
36005034500,2034500,3754,3502,252,220,635,1267,1443,564,299,58,123,1738,1603,135
36005034800,2034800,6640,6596,44,0,1543,2577,274,3263,277,108,141,2291,2220,71
36005035000,2035000,2284,2284,0,0,550,620,109,1227,195,50,83,765,723,42
36005035100,2035100,3539,2591,948,0,522,1174,1680,335,202,27,121,1276,1199,77
36005035600,2035600,2261,2247,14,5,457,522,79,1482,72,36,70,780,752,28
36005035800,2035800,7542,7456,86,0,1562,1527,98,5478,131,114,194,2702,2543,159
36005035900,2035900,3731,3714,17,0,1014,2333,59,1178,83,41,37,1670,1573,97
36005036000,2036000,3024,2821,203,173,561,955,341,1320,233,59,116,1017,972,45
36005036100,2036100,5569,5551,18,18,1261,4055,42,1259,58,40,115,2384,2232,152
36005036300,2036300,7074,6964,110,17,1877,5051,91,1761,27,59,85,2594,2490,104
36005036400,2036400,2603,2582,21,0,528,463,33,1974,54,19,60,953,856,97
36005036501,2036501,3897,3700,197,0,1055,2085,26,1683,13,38,52,1460,1391,69
36005036502,2036502,2449,2386,63,0,657,1623,52,672,22,44,36,862,813,49
36005036700,2036700,2672,2105,567,0,847,1605,72,887,26,53,29,807,679,128
36005036800,2036800,2165,1997,168,0,553,565,29,1435,47,46,43,701,662,39
36005036901,2036901,1910,1829,81,0,512,1405,27,423,10,27,18,744,707,37
36005036902,2036902,2324,2049,275,0,625,1320,52,870,7,15,60,828,738,90
36005037000,2037000,2536,2536,0,0,564,727,50,1535,114,38,72,930,877,53
36005037100,2037100,4504,4283,221,0,1048,2846,68,1476,10,38,66,1842,1775,67
36005037200,2037200,2289,2251,38,0,514,826,67,1193,78,59,66,867,815,52
36005037300,2037300,6117,6054,63,0,1752,3904,109,1880,43,56,125,2242,2147,95
36005037400,2037400,3890,3890,0,0,1056,1755,92,1828,61,35,119,1601,1533,68
36005037504,2037504,4023,3689,334,173,1058,2485,112,1308,20,35,63,1441,1389,52
36005037600,2037600,2274,2197,77,0,476,989,124,962,100,42,57,849,803,46
36005037800,2037800,3569,3487,82,0,850,1330,120,1930,32,55,102,1306,1262,44
