ed,hochul,zeldin,gov_votes,voters_nov22
55058,108.0,3.0,112.0,318.0
55059,281.0,22.0,307.0,1469.0
55060,283.0,20.0,308.0,1129.0
55061,269.0,10.0,285.0,1016.0
55062,223.0,12.0,238.0,878.0
55063,426.0,27.0,458.0,1502.0
55064,469.0,33.0,507.0,1293.0
55065,448.0,35.0,491.0,1570.0
55066,14.0,1.0,15.0,67.0
55067,0.0,0.0,0.0,
55068,0.0,0.0,0.0,
56001,257.0,31.0,292.0,1583.0
56002,258.0,27.0,289.0,1347.0
56003,199.0,207.0,411.0,1140.0
56004,250.0,55.0,308.0,915.0
56005,253.0,30.0,292.0,1584.0
56006,229.0,43.0,284.0,1428.0
56007,235.0,36.0,284.0,1565.0
56008,372.0,96.0,473.0,1154.0
56009,417.0,50.0,471.0,1119.0
56010,331.0,39.0,373.0,1130.0
56011,438.0,54.0,497.0,1384.0
56012,464.0,33.0,502.0,1523.0
56013,379.0,30.0,415.0,1434.0
56014,286.0,15.0,306.0,1258.0
56015,187.0,26.0,218.0,1306.0
56016,310.0,25.0,337.0,1314.0
56017,360.0,19.0,385.0,1259.0
56018,16.0,1.0,17.0,52.0
56019,438.0,28.0,471.0,1134.0
56020,489.0,23.0,518.0,1305.0
56021,437.0,23.0,466.0,1154.0
56022,299.0,12.0,317.0,887.0
56023,366.0,12.0,382.0,946.0
56024,471.0,26.0,503.0,1604.0
56025,380.0,13.0,394.0,1315.0
56026,433.0,20.0,461.0,1574.0
56027,512.0,28.0,545.0,1418.0
56028,417.0,17.0,438.0,1318.0
56029,548.0,19.0,570.0,1542.0
56030,389.0,12.0,406.0,1202.0
56031,351.0,10.0,363.0,1303.0
56032,528.0,20.0,554.0,1342.0
56033,441.0,12.0,458.0,1315.0
56034,350.0,18.0,375.0,1421.0
56035,465.0,23.0,494.0,1385.0
56036,429.0,22.0,456.0,1393.0
56037,613.0,28.0,646.0,1603.0
56038,627.0,20.0,655.0,1519.0
56039,422.0,13.0,440.0,1225.0
56040,490.0,11.0,507.0,1167.0
56041,438.0,19.0,459.0,1194.0
56042,410.0,11.0,432.0,1152.0
56043,517.0,10.0,533.0,1252.0
56044,742.0,29.0,777.0,1639.0
56045,652.0,18.0,677.0,1682.0
