ct,ccd
36047082000,40
36047082200,40
36047082400,45
36047082600,40
36047082800,45
36047083000,45
36047083200,45
36047083400,45
36047083600,45
36047083800,45
36047084000,45
36047084600,45
36047084800,45
36047085000,45
36047085200,45
36047085400,45
36047085600,45
36047085800,40
36047086000,45
36047086200,45
36047086400,41
36047086600,41
36047086800,41
36047087000,41
36047087200,40
36047087401,40
36047087600,41
36047087800,41
36047088001,41
36047088002,41
36047088200,41
36047088400,41
36047088600,41
36047088800,42
36047089000,41
36047089200,41
36047089400,41
36047089600,41
36047089800,41
36047090000,41
36047090200,41
36047090600,41
36047090800,37
36047091000,41
36047091200,41
36047091600,41
36047091800,41
36047092000,42
36047092200,42
36047092400,41
36047092800,42
36047093000,42
36047093200,45
36047093400,42
36047093600,42
36047093800,45
36047094401,45
36047094402,45
36047094600,45
36047095000,45
36047095400,46
36047095600,46
36047095800,46
36047096000,42
36047096200,42
36047096400,46
36047096600,46
36047096800,46
36047097000,42
36047097400,46
36047098200,42
36047098400,46
36047098600,46
36047098800,46
36047099000,46
36047099200,46
36047099400,46
36047099600,46
36047099800,46
36047100400,46
36047100600,46
36047100800,46
36047101000,46
36047101200,46
36047101400,46
36047101600,46
36047101800,46
36047102000,46
36047102200,46
36047102400,46
36047102600,46
36047102801,46
36047102802,46
36047103401,46
36047103402,46
36047105801,42
36047107001,42
36047107003,42
36047107800,42
36047109800,42
36047110400,42
36047110600,42
36047111000,42
36047111600,42
36047111800,42
36047112000,42
36047112200,42
36047112400,42
36047112600,42
36047112800,42
36047113000,42
36047113200,42
36047113400,42
36047114201,37
36047114202,37
36047114400,37
36047114600,37
36047115000,42
36047115200,42
36047115600,42
36047115800,42
36047116000,42
36047116200,42
36047116400,42
36047116600,42
36047116800,37
36047117000,37
36047117201,37
36047117202,37
36047117400,37
36047117601,37
36047117602,37
36047117800,37
36047118000,37
36047118201,37
36047118202,37
36047118400,37
36047118800,37
36047119000,37
36047119200,37
36047119400,42
36047119600,42
36047119800,37
36047120000,42
36047120200,37
36047120801,42
36047120802,42
36047120803,42
36047121000,42
36047121400,42
36047122000,42
36047123700,33
36061014300,6
36081032000,31
36081068000,31
36081048302,26
36005007100,17
36005007500,17
36005014100,17
36005018502,17
36081024500,26
36081024700,26
36085014606,50
36047070202,46
36047070602,46
36047007500,39
36047007700,39
36081056800,27
36081058000,27
36081013700,22
36081014100,22
36047105804,42
36047107002,42
36005033400,15
36005037600,12
36005017300,16
36005033700,11
36005034500,11
36005033500,11
36005035100,11
36005011502,17
36005012300,17
36081051100,30
36081060701,30
36005003700,8
36061014700,6
36061015102,6
36061008601,4
36061008800,4
36005006000,15
36005022000,15
36061008602,4
36061009000,4
36047050803,40
36047079802,40
36005006100,16
36005025700,14
36061029900,10
36047152200,40
36005005300,16
36005024700,16
36081060300,30
36081061301,30
36081089201,32
36081006201,32
36081088400,32
36005018301,16
36005019500,16
36005005902,16
36085014604,51
36085014605,51
36081029100,25
36081029300,25
36085005901,49
36047051200,40
36081032900,22
36005011000,13
36005016600,13
36005019400,13
36081001800,32
36081002000,32
36047050600,40
36081049900,30
36081050700,30
36061024000,8
36005001902,8
36047006300,39
36047005100,39
36047005900,38
36081038100,21
36081038302,24
36085021300,49
36085024700,49
36005005100,8
36005006301,8
36061029700,10
36061030300,10
36085019800,51
36085020803,51
36047035400,47
36047036600,48
36081003700,26
36081003900,22
36081034700,22
36005015700,17
36005016100,17
36061031703,1
36061031704,1
36085029106,51
36047001300,33
36085013203,51
36085013204,51
36085013201,50
36085013800,50
36061011700,3
36061012901,3
36047017100,39
36047050202,39
36047050001,39
36047150200,39
36081056400,23
36061023900,10
36061024500,10
36047054300,33
36047054500,34
36081030904,22
36081030905,25
36047069602,46
36047070601,46
36081069000,31
36081069400,31
36085014100,49
36085014700,49
36085017016,51
36085022802,51
36005005600,17
36005006200,17
36081127700,24
36061001300,1
36061002100,1
36005021601,18
36005021602,18
36061024302,9
36061031100,10
36081138502,23
36081152901,23
36081047600,23
36081128300,23
36047014102,39
36047010100,38
36081024300,26
36081048900,26
36047014500,38
36047011700,38
36047014300,38
36005021001,18
36005023800,13
36081021900,26
36081053502,30
36061000202,1
36047002100,33
36047038700,36
36047039500,37
36047028900,36
36047039300,34
36005001903,8
36005009302,17
36081003600,32
36047118600,37
36047017700,39
36047032700,40
36005003500,8
36005007300,8
36085007500,49
36085007700,49
36081001902,26
36081017101,26
36081047500,30
36081068700,30
36061000100,1
36005011800,13
36081107202,31
36085990100,50
36047001801,38
36047005303,38
36047069800,46
36047070203,42
