ct,tot_,moe_,tot_not_hispanic,moe_not_hispanic,tot_hispanic,moe_hispanic,tot_mexican,moe_mexican,tot_puerto_rican,moe_puerto_rican,tot_cuban,moe_cuban,tot_dominican,moe_dominican,tot_central_american,moe_central_american,tot_costa_rican,moe_costa_rican,tot_guatemalan,moe_guatemalan,tot_honduran,moe_honduran,tot_nicaraguan,moe_nicaraguan,tot_panamanian,moe_panamanian,tot_salvadoran,moe_salvadoran,tot_other_central_american,moe_other_central_american,tot_south_american,moe_south_american,tot_argentinean,moe_argentinean,tot_bolivian,moe_bolivian,tot_chilean,moe_chilean,tot_colombian,moe_colombian,tot_ecuadorian,moe_ecuadorian,tot_paraguayan,moe_paraguayan,tot_peruvian,moe_peruvian,tot_uruguayan,moe_uruguayan,tot_venezuelan,moe_venezuelan,tot_other_south_american,moe_other_south_american,tot_other_hispanic_or_latino,moe_other_hispanic_or_latino,tot_spaniard,moe_spaniard,tot_spanish,moe_spanish,tot_spanish_american,moe_spanish_american,tot_all_other_hispanic_or_latino,moe_all_other_hispanic_or_latino
36081055600,2580,400,1532,325,1048,386,23,22,161,125,65,112,56,55,349,358,0,13,208,327,117,141,0,13,24,43,0,13,0,13,361,173,0,13,0,13,0,13,345,180,0,13,0,13,16,24,0,13,0,13,0,13,33,46,0,13,0,13,0,13,33,46
36081055700,4289,670,1971,451,2318,625,465,371,736,272,23,34,395,329,11,17,0,13,0,13,0,13,0,13,0,13,11,17,0,13,474,295,36,72,0,13,0,13,8,13,340,271,62,93,0,13,28,41,0,13,0,13,214,214,28,41,0,13,0,13,186,211
36081055800,1999,383,1255,377,744,292,22,31,315,207,0,13,247,217,41,45,0,13,0,13,41,45,0,13,0,13,0,13,0,13,64,138,0,13,0,13,0,13,64,138,0,13,0,13,0,13,0,13,0,13,0,13,55,88,0,13,0,13,0,13,55,88
36081055900,1149,273,409,155,740,272,61,48,27,38,0,13,338,264,62,99,0,13,62,99,0,13,0,13,0,13,0,13,0,13,245,112,0,13,0,13,0,13,22,32,121,95,0,13,102,53,0,13,0,13,0,13,7,11,7,11,0,13,0,13,0,13
36081056000,1791,386,1391,358,400,200,0,13,19,21,0,13,106,98,3,6,0,13,0,13,3,6,0,13,0,13,0,13,0,13,256,173,0,13,0,13,38,57,195,164,0,13,0,13,13,17,0,13,10,17,0,13,16,24,0,13,0,13,0,13,16,24
36081056100,20,15,20,15,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13
36081056200,1573,295,1247,322,326,176,0,13,37,41,0,13,151,126,83,104,52,84,31,35,0,13,0,13,0,13,0,13,0,13,55,60,0,13,0,13,0,13,12,17,0,13,0,13,43,58,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13
36081056400,1216,330,811,283,405,252,13,21,138,91,0,13,122,172,63,85,0,13,1,2,0,13,0,13,0,13,62,85,0,13,69,92,6,9,0,13,0,13,0,13,63,92,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13
36081056500,1739,288,469,225,1270,318,5,8,369,135,1,2,441,251,10,13,0,13,10,13,0,13,0,13,0,13,0,13,0,13,351,163,0,13,0,13,0,13,37,52,293,151,0,13,21,24,0,13,0,13,0,13,93,67,14,18,0,13,0,13,79,68
36081056600,1454,371,1264,378,190,121,0,13,90,92,0,13,0,13,34,40,0,13,0,13,0,13,0,13,13,21,21,34,0,13,66,63,0,13,0,13,0,13,12,19,54,60,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13
