ct,cd,tot_pov_pop,below_pov_pop
36047050002,39,1966,42
36047050100,34,3373,493
36047050202,39,2460,242
36047050300,34,2910,295
36047050401,40,3171,336
36047050402,40,1758,165
36047050500,34,4136,1137
36047050600,40,5754,902
36047050700,33,3780,1320
36047050801,40,3718,706
36047050803,40,2749,437
36047050804,40,6597,635
36047050900,33,6003,3365
36047051001,40,4491,695
36047051002,40,4038,333
36047051100,34,4462,1027
36047051200,40,6470,1070
36047051300,34,5825,946
36047051400,40,7733,1207
36047051500,33,2790,218
36047051601,45,5115,907
36047051602,40,3652,392
36047051700,33,2857,200
36047051800,40,3440,399
36047051900,34,5257,310
36047052000,40,3951,467
36047052300,34,5376,917
36047052500,34,3321,994
36047052600,40,4328,588
36047052700,34,6909,1076
36047052800,45,1920,208
36047052900,33,2915,1324
36047053000,44,4127,1168
36047053101,33,2915,1469
36047053102,33,6244,2878
36047053200,44,2759,431
36047053300,33,6367,3239
36047053400,44,4740,872
36047053500,34,4033,2048
36047053700,33,4097,1614
36047053800,44,5754,597
36047053900,33,2878,1594
36047054200,48,4138,675
36047054300,33,0,0
36047054400,48,4140,437
36047054500,34,7650,4748
36047054600,48,5427,1047
36047054700,34,6689,2076
36047054800,48,2234,385
36047054900,34,4536,1087
36047055000,48,3768,586
36047055100,34,5412,753
36047055200,48,3625,416
36047055300,34,3060,659
36047055400,48,4252,558
36047055500,33,9345,585
36047055600,48,4068,1171
36047055700,33,1834,141
36047055800,48,2504,504
36047056000,48,3648,525
36047056100,33,3751,222
36047056200,48,1936,11
36047056301,33,4384,651
36047056302,33,1638,216
36047056400,48,2726,269
36047056500,33,3397,181
36047056600,46,2679,571
36047056800,46,1440,268
36047056900,33,1734,40
36047057000,46,3630,383
36047057100,33,4036,204
36047057200,46,5394,1832
36047057300,33,2535,290
36047057400,46,2983,329
36047057500,33,4402,578
36047057600,48,3150,317
36047057800,48,2944,639
36047057901,33,1268,308
36047057902,33,0,0
36047058000,48,4214,1054
36047058200,48,2697,206
36047058400,48,3655,232
36047058600,48,2760,468
36047058800,48,3528,283
36047058901,33,1804,121
36047058902,33,0,0
36047059000,48,2025,459
36047059100,33,3940,199
36047059200,48,4190,715
36047059300,33,2396,302
36047059402,48,5922,410
36047059403,48,3456,451
36047059404,48,4310,581
36047059600,48,2445,316
36047059800,46,3712,656
36047060000,48,6344,619
36047060600,48,2855,399
36047060800,48,3926,458
36047061002,48,5247,626
36047061003,48,1842,556
36047061004,48,6218,1007
36047061200,48,1156,41
36047061600,48,1115,12
36047062000,48,2021,130
36047062200,48,2616,380
36047062600,46,3105,251
36047062800,46,5009,392
36047063200,46,1471,196
36047063600,46,1254,102
36047063800,46,2248,104
36047064000,46,1768,58
36047064200,48,2617,639
36047064400,46,2973,498
36047064600,45,2337,72
36047064800,45,2430,203
36047065000,45,1517,137
36047065200,46,1173,18
36047065400,46,1592,72
36047065600,46,1900,65
36047065800,46,1853,168
36047066000,46,2100,19
36047066200,46,1392,73
36047066600,46,0,0
36047067000,46,2928,292
36047067200,46,1713,72
36047067400,46,1968,81
36047067600,46,1847,242
36047067800,46,3311,384
36047068000,46,2096,37
36047068200,46,2579,198
36047068600,46,1721,66
36047068800,46,1866,52
36047069000,46,2001,133
36047069200,46,2341,54
36047069601,46,3400,174
36047069602,46,5748,507
36047069800,46,1512,22
36047070000,46,1344,43
