ed,cd
49062,43
49063,47
49064,43
49065,38
49066,43
49067,43
49068,43
49069,43
49070,43
49071,38
50001,33
50002,33
50003,33
50005,33
50007,33
50008,33
50009,33
50010,33
50011,34
50012,33
50013,33
50014,35
50015,34
50016,34
50017,34
50018,34
50019,34
50020,34
50021,34
50022,34
50023,34
50024,34
50025,34
50026,33
50027,33
50028,33
50029,33
50030,33
50031,33
50032,33
50033,33
50034,33
50035,33
50037,33
50038,33
50039,33
50040,33
50041,33
50042,33
50043,33
50044,34
50045,34
50046,34
50047,33
50048,33
50049,34
50050,34
50051,34
50052,34
50053,34
50054,34
50055,34
50057,34
50059,34
50060,34
50061,34
50062,34
50063,34
50064,34
50065,34
50066,34
50067,33
50068,33
50069,33
50070,33
50071,33
50072,33
50073,33
50074,33
50075,33
50076,33
50077,33
50078,33
50079,33
50080,33
50081,33
50082,33
50083,33
50084,33
50085,33
50086,33
50087,35
50088,35
50089,35
50090,35
50091,35
50092,35
50093,35
50094,35
50095,33
50096,33
50097,34
50098,34
50099,35
50100,33
50101,33
50102,33
50103,35
50104,35
50105,33
50106,33
50107,33
51001,38
51002,38
51003,38
51004,38
51005,38
51006,38
51007,39
51008,39
51009,38
51010,38
51011,39
51012,39
51013,39
51014,38
51015,38
51017,38
51018,44
51019,38
51020,38
51021,39
51022,39
51023,38
51024,47
51025,38
51026,47
51027,38
51028,38
51029,38
51030,38
51031,38
51032,38
51033,38
51034,38
51035,38
51036,38
51037,38
51038,38
51040,38
51041,38
51042,38
51043,38
51044,38
51047,47
51049,38
51050,38
51051,38
51053,38
51054,38
51055,38
51056,38
51057,38
51058,38
51059,47
51060,47
51061,47
51062,47
51063,38
51064,38
51065,38
51066,38
51067,38
51068,38
51070,38
51071,38
51072,38
51073,38
51074,38
51075,38
51076,47
51077,47
51078,38
51079,38
51080,38
51081,38
51082,38
51083,39
51084,39
51087,38
52001,33
52003,35
52004,33
52005,33
52007,33
52008,33
52009,33
52010,33
52011,33
52012,33
52014,33
52016,33
52017,33
52018,33
52019,33
52021,38
52022,33
52023,33
52025,33
52026,39
52027,33
52028,33
52029,33
52030,33
52032,33
52034,33
52035,39
52036,39
52037,39
52039,39
52041,39
52042,39
52043,39
52044,39
52045,39
52046,39
52047,39
52048,39
52049,39
52050,39
52051,39
52052,39
52053,39
52054,39
52056,39
52057,39
52058,39
52059,39
52060,39
52061,39
52063,35
52064,39
52065,39
52066,39
52067,39
52068,39
52069,39
52070,39
52071,39
52072,39
52073,35
52074,35
52075,35
52076,39
52077,39
52078,39
52079,38
52080,38
52081,39
52082,38
52083,39
52084,39
52085,39
52086,39
52087,39
52088,39
52089,39
52090,39
52091,39
52092,39
52093,39
52094,38
52095,39
52096,39
52097,39
52098,39
52101,39
52102,33
52103,39
52104,33
52106,38
52109,33
52110,39
52111,39
52113,35
52114,39
52115,33
52116,39
52117,33
52118,38
52121,38
52122,39
52123,39
52124,38
52125,38
52126,39
53001,34
53002,34
53003,34
53004,34
53005,34
53006,34
53007,34
53008,34
53009,34
53010,34
53011,34
53012,34
53013,34
53014,34
53015,34
53016,34
53017,34
53018,34
53019,34
53020,34
53021,34
53022,34
53023,34
53024,34
53025,34
53026,34
53027,34
53028,34
53029,34
53030,34
53031,34
53032,34
53033,34
53034,34
53035,34
53036,34
53037,34
53038,34
53041,34
53042,34
53043,34
53044,34
53045,34
53046,34
53047,34
53048,34
53049,36
53050,37
53051,34
53052,34
53053,34
53054,34
53055,34
53056,34
53057,34
53058,34
53059,34
53060,34
53061,34
53062,34
53063,37
53064,37
53065,37
53066,37
53067,37
53068,37
53069,37
53070,37
53071,37
53072,37
53073,37
53074,37
53075,37
53076,37
53077,37
53078,33
53079,33
53080,36
53081,34
53082,37
53083,34
53084,34
53085,34
53086,34
53087,34
53088,34
53089,34
54001,42
54002,37
54003,37
54004,37
54005,42
54006,37
54007,36
54008,36
54009,36
54010,36
54011,36
54012,36
54013,34
54014,36
54015,36
54016,36
54017,36
54018,41
54019,37
54020,37
54021,37
54022,34
54023,37
54024,37
54025,34
54026,41
54027,37
54028,37
54029,37
54030,37
54031,37
54032,37
54033,37
54034,37
54035,37
54036,37
54037,37
54038,37
54039,37
54040,37
54041,37
54042,37
54043,37
54044,37
54045,37
54046,37
54047,37
54048,37
54049,37
54050,37
54051,37
54052,37
54053,37
54054,37
54055,37
54056,37
54057,37
54058,37
54059,37
54060,37
54061,37
54062,37
54063,37
54064,37
54065,37
54066,37
54067,37
54068,42
54069,42
54070,42
54071,42
54072,42
54073,37
54074,37
54075,42
54076,36
54077,37
54078,37
54079,37
54080,37
54081,37
54082,37
54083,37
54084,34
54085,37
54086,37
54087,37
54088,37
54089,37
55001,41
55002,41
55003,41
55004,41
55005,37
55006,41
55007,37
55008,41
55009,41
55010,41
55011,41
55012,41
55013,42
55014,37
55015,37
55016,37
55017,37
55018,41
55019,41
55020,41
55021,41
55022,41
55023,41
55024,41
55025,37
55026,37
55027,37
55028,37
55029,37
55030,41
55031,41
55032,41
55033,41
55034,41
55035,41
55036,41
55037,37
55039,37
55040,37
55041,37
55042,37
55043,37
55044,37
55045,37
55046,42
55047,42
55048,42
55049,42
55050,37
55051,37
55052,37
55053,41
55054,37
55056,41
55057,41
55058,41
55059,41
55060,41
55063,41
55065,41
55066,41
55067,41
55068,41
55069,41
55070,41
55071,41
55072,41
55073,41
55074,41
55075,41
55076,41
55077,41
55078,41
55079,41
55080,41
55081,41
55082,41
55083,36
55084,41
55085,41
55086,41
55087,41
55088,41
55089,41
55090,41
55091,41
55092,41
55093,41
55094,41
55095,41
55096,41
55097,41
55098,41
55099,41
55100,36
55101,36
55102,41
55103,41
55104,41
55106,41
55107,41
55108,41
55109,41
55110,41
55111,37
55112,41
55113,37
56001,36
56002,36
56004,36
56005,36
56006,36
56007,36
56008,36
56009,36
56010,36
56011,36
56013,36
56014,36
56015,36
56016,36
56017,36
56018,36
56019,36
56020,36
56021,36
56022,36
56023,36
56024,36
56025,36
56026,36
56027,36
56028,36
56029,36
56030,36
56031,41
56032,36
56033,36
56034,36
56035,36
56036,36
56038,36
56040,36
56041,36
56042,36
56043,36
56044,41
56045,36
56046,41
56047,36
56048,41
56049,36
56050,36
56051,36
56052,36
56053,36
56054,36
56055,36
56056,36
56057,36
56058,36
56059,36
56060,36
56061,41
56062,36
56063,41
56064,41
56065,36
56066,41
56067,35
56068,36
56069,36
56070,36
56071,36
56072,36
56073,35
56074,36
56075,35
56076,35
56077,35
56078,35
56079,36
56080,36
56081,36
56082,36
56083,41
56084,36
56085,36
56086,36
56087,36
56088,36
56089,41
56090,36
56091,36
56092,36
57002,35
57005,33
57006,35
57007,35
57008,35
57009,35
57010,35
57011,35
57012,35
57013,35
57014,35
57015,35
57018,35
57019,33
57020,33
57021,36
57022,33
57023,35
57024,35
57025,35
57026,35
57027,35
57028,35
57029,35
57030,35
57031,35
57032,36
57033,36
57034,35
57035,35
57036,36
57037,36
57038,36
57039,35
57040,35
57041,35
57042,35
57043,35
57044,35
57045,35
57046,35
57047,35
57048,35
57049,35
57050,36
57051,36
57052,36
57053,36
57054,36
57055,36
57056,35
57057,36
57058,36
57059,35
57060,35
57061,35
57062,35
57063,35
57064,35
57065,35
57066,35
57067,35
57068,35
57069,35
57070,35
57071,35
57072,35
57073,35
57074,35
57075,35
57076,35
57077,35
57078,35
57079,35
57080,35
57081,35
57082,35
57083,35
57084,35
57085,35
57086,35
57087,35
57088,35
57089,35
57090,35
57092,35
57094,33
57095,35
57096,35
57097,36
57099,36
57100,36
57101,36
57102,33
57103,35
57104,35
57105,35
57106,35
58001,41
58002,41
58003,41
58004,41
58005,41
58006,41
