ed,cd,dem,rep,con,wor,oth,blank,total
28019,30,410.0,130.0,12.0,7.0,18.0,223.0,800.0
28020,30,751.0,190.0,10.0,5.0,23.0,394.0,1373.0
28021,30,308.0,118.0,6.0,1.0,10.0,174.0,617.0
28022,30,521.0,439.0,21.0,3.0,43.0,416.0,1443.0
28023,30,423.0,337.0,17.0,4.0,31.0,261.0,1073.0
28024,30,696.0,416.0,14.0,8.0,53.0,363.0,1550.0
28025,30,674.0,532.0,14.0,1.0,72.0,403.0,1696.0
28026,30,626.0,311.0,10.0,3.0,38.0,405.0,1393.0
28027,32,337.0,217.0,21.0,6.0,16.0,226.0,823.0
28028,29,349.0,133.0,5.0,1.0,14.0,192.0,694.0
28029,29,751.0,250.0,8.0,1.0,42.0,343.0,1395.0
28030,29,928.0,297.0,7.0,1.0,31.0,396.0,1660.0
28031,29,955.0,147.0,3.0,3.0,38.0,347.0,1493.0
28032,29,953.0,129.0,7.0,5.0,21.0,276.0,1391.0
28033,29,545.0,118.0,5.0,1.0,30.0,225.0,924.0
28034,29,1038.0,204.0,5.0,4.0,40.0,439.0,1730.0
28035,29,901.0,159.0,9.0,1.0,37.0,384.0,1491.0
28036,29,249.0,40.0,1.0,0.0,4.0,93.0,387.0
28037,29,839.0,192.0,5.0,1.0,19.0,287.0,1343.0
28038,29,729.0,151.0,4.0,4.0,26.0,230.0,1144.0
28039,29,881.0,193.0,4.0,2.0,34.0,366.0,1480.0
28040,29,851.0,233.0,1.0,4.0,37.0,377.0,1503.0
28041,29,353.0,71.0,1.0,2.0,6.0,180.0,613.0
28042,29,162.0,60.0,2.0,1.0,9.0,70.0,304.0
28043,29,915.0,347.0,2.0,9.0,32.0,507.0,1812.0
28044,29,857.0,312.0,6.0,0.0,39.0,422.0,1636.0
28045,24,,,,,,,
28046,30,877.0,218.0,1.0,6.0,46.0,446.0,1594.0
28047,29,655.0,160.0,3.0,0.0,23.0,285.0,1126.0
28048,30,1038.0,250.0,9.0,4.0,46.0,480.0,1827.0
28049,29,484.0,144.0,3.0,1.0,14.0,239.0,885.0
28050,29,801.0,162.0,1.0,4.0,32.0,325.0,1325.0
28051,29,788.0,159.0,8.0,1.0,20.0,316.0,1292.0
28052,29,514.0,129.0,3.0,0.0,19.0,218.0,883.0
28053,29,931.0,217.0,3.0,1.0,46.0,361.0,1559.0
28054,29,871.0,219.0,2.0,1.0,28.0,390.0,1511.0
28055,29,722.0,230.0,6.0,5.0,38.0,353.0,1354.0
28056,29,596.0,163.0,5.0,1.0,25.0,268.0,1058.0
28057,29,697.0,164.0,5.0,2.0,27.0,262.0,1157.0
28058,30,812.0,280.0,7.0,1.0,43.0,519.0,1662.0
28059,30,620.0,230.0,1.0,1.0,30.0,320.0,1202.0
28060,30,579.0,257.0,6.0,3.0,43.0,332.0,1220.0
28061,30,176.0,162.0,3.0,1.0,15.0,138.0,495.0
28062,30,67.0,50.0,4.0,3.0,1.0,40.0,165.0
28063,30,125.0,58.0,3.0,1.0,4.0,85.0,276.0
28064,30,351.0,144.0,5.0,1.0,24.0,158.0,683.0
28065,29,276.0,113.0,4.0,0.0,10.0,116.0,519.0
28066,32,473.0,277.0,14.0,3.0,34.0,286.0,1087.0
28067,30,153.0,62.0,2.0,0.0,10.0,81.0,308.0
28068,30,129.0,68.0,3.0,0.0,10.0,72.0,282.0
28069,29,160.0,35.0,1.0,0.0,9.0,52.0,257.0
28070,29,32.0,8.0,1.0,0.0,2.0,9.0,52.0
28071,29,880.0,247.0,2.0,4.0,42.0,398.0,1573.0
28072,29,108.0,17.0,3.0,0.0,4.0,53.0,185.0
28073,29,57.0,25.0,0.0,0.0,4.0,28.0,114.0
28074,29,16.0,15.0,0.0,0.0,0.0,15.0,46.0
28075,30,85.0,45.0,2.0,1.0,3.0,32.0,168.0
28076,30,754.0,125.0,3.0,4.0,36.0,282.0,1204.0
28077,32,,,,,,,
28078,29,,,,,,,
29001,31,1359.0,35.0,5.0,5.0,22.0,263.0,1689.0
29002,31,1282.0,37.0,5.0,4.0,33.0,220.0,1581.0
29003,31,1198.0,53.0,8.0,2.0,29.0,221.0,1511.0
29004,31,1170.0,55.0,7.0,7.0,27.0,237.0,1503.0
29005,31,1125.0,55.0,2.0,5.0,34.0,202.0,1423.0
29006,31,1259.0,59.0,4.0,5.0,28.0,251.0,1606.0
29007,31,926.0,39.0,4.0,4.0,29.0,156.0,1158.0
29008,31,862.0,46.0,1.0,3.0,25.0,141.0,1078.0
29009,31,704.0,21.0,3.0,2.0,19.0,122.0,871.0
29010,31,1399.0,33.0,1.0,4.0,28.0,202.0,1667.0
29011,31,1336.0,41.0,5.0,4.0,29.0,185.0,1600.0
29012,31,1409.0,48.0,5.0,4.0,25.0,215.0,1706.0
