ed,cd,hochul,zeldin,gov_votes,voters_nov22
59044,46,145.0,381.0,529.0,1032.0
59045,46,329.0,322.0,660.0,1539.0
59046,46,221.0,497.0,723.0,1588.0
59047,46,68.0,453.0,524.0,1088.0
59048,46,134.0,543.0,685.0,1417.0
59049,46,133.0,609.0,744.0,1504.0
59050,46,137.0,567.0,705.0,1339.0
59051,46,111.0,286.0,400.0,725.0
59052,46,231.0,464.0,700.0,1354.0
59053,46,178.0,354.0,539.0,1004.0
59054,46,147.0,364.0,518.0,964.0
59055,46,226.0,471.0,699.0,1314.0
59056,46,236.0,578.0,817.0,1456.0
59057,46,289.0,482.0,778.0,1741.0
59058,46,100.0,156.0,257.0,569.0
59059,46,207.0,707.0,917.0,1766.0
59060,46,178.0,644.0,825.0,1665.0
59061,46,5.0,4.0,10.0,93.0
59062,46,3.0,1.0,4.0,7.0
59063,46,200.0,23.0,227.0,1144.0
59064,46,0.0,0.0,0.0,
59065,46,0.0,0.0,0.0,
59066,,0.0,0.0,0.0,
59067,42,0.0,0.0,0.0,
59068,,0.0,0.0,0.0,
59069,46,0.0,0.0,0.0,
60001,42,247.0,14.0,266.0,977.0
60002,42,339.0,19.0,362.0,1539.0
60003,42,261.0,22.0,288.0,1470.0
60004,42,418.0,32.0,454.0,1371.0
60005,42,160.0,14.0,174.0,580.0
60006,42,586.0,57.0,651.0,1820.0
60007,42,528.0,53.0,590.0,1589.0
60008,42,289.0,56.0,353.0,992.0
60009,42,437.0,63.0,512.0,1462.0
60010,42,435.0,38.0,486.0,1297.0
60011,42,184.0,83.0,273.0,818.0
60012,42,250.0,13.0,267.0,1140.0
60013,42,263.0,19.0,285.0,1326.0
60014,46,427.0,50.0,484.0,1221.0
60015,46,410.0,30.0,447.0,1274.0
60016,46,370.0,30.0,402.0,1027.0
60017,42,400.0,111.0,519.0,1538.0
60018,42,316.0,74.0,399.0,1130.0
60019,42,418.0,71.0,498.0,1526.0
60020,42,200.0,37.0,241.0,804.0
60021,42,481.0,44.0,530.0,1171.0
60022,42,273.0,15.0,294.0,1380.0
60023,42,328.0,19.0,350.0,1550.0
60024,42,229.0,18.0,252.0,1073.0
60025,42,389.0,17.0,414.0,1363.0
60026,42,324.0,24.0,359.0,1439.0
60027,42,166.0,16.0,185.0,777.0
60028,42,403.0,35.0,441.0,1468.0
60029,42,337.0,22.0,362.0,1466.0
60030,42,388.0,25.0,420.0,1551.0
60031,42,324.0,26.0,356.0,1271.0
60032,42,230.0,23.0,260.0,1249.0
60033,42,155.0,23.0,180.0,1035.0
60034,42,232.0,25.0,259.0,1404.0
60035,42,351.0,23.0,380.0,1465.0
60036,42,287.0,17.0,306.0,1427.0
60037,42,360.0,20.0,390.0,1214.0
60038,42,279.0,22.0,304.0,1312.0
60039,42,377.0,31.0,414.0,1382.0
60040,42,275.0,32.0,309.0,1232.0
60041,42,225.0,21.0,248.0,1301.0
60042,42,409.0,21.0,436.0,1358.0
60043,42,276.0,24.0,304.0,1298.0
60044,42,308.0,28.0,344.0,1024.0
60045,42,223.0,24.0,248.0,1219.0
60046,42,421.0,30.0,460.0,1649.0
60047,37,27.0,7.0,36.0,258.0
60048,42,151.0,30.0,185.0,919.0
60049,42,202.0,20.0,225.0,1271.0
60050,42,160.0,18.0,188.0,898.0
60051,42,383.0,32.0,417.0,1456.0
60052,42,281.0,17.0,309.0,1269.0
60053,42,313.0,52.0,370.0,1343.0
60054,42,374.0,26.0,405.0,1575.0
60055,42,345.0,28.0,379.0,1525.0
60056,42,218.0,22.0,245.0,945.0
60057,42,259.0,33.0,296.0,1098.0
